-19.0246688029,-40.5360605046
-19.0082123185,-40.537653471
-19.0005896825,-40.5363819599
-19.0006453099,-40.536519217
-19.0351694764,-40.5384585565
-20.6494757347,-40.4929933208
-20.6495366914,-40.4809131352
-20.6482578024,-40.49844575
-20.6482566819,-40.4984455778
-20.6481772033,-40.4984333361
-20.6497405962,-40.4928579049
-20.649734249,-40.492086857
-20.6496646533,-40.4931534191
-20.6493675405,-40.4990699386
-20.6494369505,-40.4817514116
-20.6492542601,-40.4928081644
-20.6479509689,-40.4986344733
-20.6479438815,-40.4983975306
-20.6479111611,-40.4987842652
-20.6477812997,-40.4983725472
-20.6477407206,-40.4983662838
-20.6475950243,-40.4986091349
-20.6475722906,-40.4986981328
-20.6475564623,-40.4987602813
-20.6475558881,-40.4987625205
-20.6475556283,-40.498763518
-20.6475005587,-40.4983173355
-20.6471601742,-40.4983342789
-20.6471372521,-40.4983314727
-20.6471187852,-40.4983292111
-20.6469350541,-40.4989478418
-20.6469151978,-40.4988633089
-20.6467534152,-40.4981751997
-20.646684779,-40.4981517927
-20.6463855331,-40.5122947747
-20.6450151235,-40.512757212
-20.6450182011,-40.5123575727
-20.6442620141,-40.5111356429
-20.6442128127,-40.5125188559
-20.6441786697,-40.5126310608
-20.6463467684,-40.4989004769
-20.6461937896,-40.5131845348
-20.6462772127,-40.498878529
-20.6461292015,-40.5128230746
-20.6460687881,-40.5129184133
-20.6461948544,-40.4988519038
-20.6461640053,-40.4988419142
-20.6461323831,-40.4988407434
-20.6459859463,-40.5128764418
-20.6459745159,-40.5128703748
-20.6461057517,-40.4988147537
-20.6460959783,-40.498809533
-20.6459290239,-40.5136937335
-20.6460648571,-40.4987929102
-20.6459983573,-40.4987574548
-20.6458496958,-40.5134639318
-20.6459355419,-40.5012066473
-20.3902541955,-40.3237993543
-20.3901852567,-40.3238868985
-20.3898079608,-40.323643775
-20.3897096971,-40.3235667057
-20.3879140594,-40.3230499778
-20.3897730361,-40.3230652303
-20.3881476115,-40.3225864596
-20.3887925608,-40.3225176641
-20.3889077063,-40.3225780021
-20.3891115326,-40.3226990257
-20.3896609467,-40.324347264
-20.3902075496,-40.3238567313
